Category,Sub-Category,Image,Product Name,SKU,Description,Price
Baked Goods,Bread,image1.jpg,White Bread,1,White enriched bread,2.34
,Bread,image2.jpg,Brown Bread,2,Brown Bread - whole wheat,3.24
,Bread,Image3.jpg,Bagels 4C,3,Plain Bagels - 4 count,4.32
,Bread,image4.jpg,Bagels 6C,4,Plain Bagles - 6 count,6.42
,Bread,image5.jpg,Dinner Buns - 6,5,White dinner buns - 6 count,2.36
,Bread,image6.jpg,Dinner Buns - 12,6,White Dinner buns - 12 count,5.04
,Muffins,image7.jjpg,Bran Muffins - 6,7,"Bran Muffins - 6 pack, gluten free",6.7
,Muffins,image8.jpg,Lemon Poppy Seed Muffins,8,Poppy Seed lemon muffins -6,8
Condiments,Standard,image9.jpg,Mustard 34 oz,9,"Heinz Mustard - 34 oz, large size yellow mustard",2.98
,Standard,image10.jpg,Ketchup[ 34 oz,9,"Heinz Ketchup - 34 oz, large size squeeze bottle Ketchup",3.98
,Standard,image11.jpg,Relish 34 oz,10,"Heinz Sweet Relish - 34 oz, large size squeez bottle ",4.56
,Specialty,image12.jpg,Dijon Mustard - 16 oz,11,Dijon hot mustard,6.5
,Specialty,image13.jpg,Sriracha Sauce ,12,Sriracha Hot sauce - Respect the Rooster!,7.4
